status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
1252406928126387_1671776066189469,,,status,,2017-09-09 23:04:10,0,0,2,0,0,0,0,0,0
1252406928126387_1671755092858233,,,status,,2017-09-09 22:21:38,0,0,0,0,0,0,0,0,0
1252406928126387_1670654476301628,Fall is a magical time of year here at Hidden Valley Retreat! There are still open dates available for weekends in October and November. We book through Airbnb. (Click the Book Now button to view open dates and amenities.) A new retreat is a few weeks from opening - stay tuned!!! #treehouse #hiking #nature #stbenedictinecollege #fortleavenworth #Airbnb,Photos from Hidden Valley Wilderness Retreat's post,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1311537752213304.1073741829.1252406928126387/1670653869635022/?type=3,2017-09-08 17:26:18,34,5,12,31,3,0,0,0,0
1252406928126387_1669420643091678,There is a hint of fall here at Hidden Valley! Book Now for your Fall Getaway at the Treehouse Retreat! #hiking #treehouse #nature #stbenedictinecollege #Atchison  #Leavenworthks,Photos from Hidden Valley Wilderness Retreat's post,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1311537752213304.1073741829.1252406928126387/1669420613091681/?type=3,2017-09-07 08:05:47,12,0,0,12,0,0,0,0,0
1252406928126387_1667078353325907,Congrats Lieutenant Colonel Jeffrey Bevington on his retirement! Thanks for your years of military service! We were honored to host this retirement party at Hidden Valley.,Photos from Hidden Valley Wilderness Retreat's post,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1311537752213304.1073741829.1252406928126387/1667078263325916/?type=3,2017-09-04 13:22:36,23,1,0,22,1,0,0,0,0
1252406928126387_1649743131726096,"'The Tortious and the Hare' is a great life lesson to reflect upon when the 'To Do List' seems never ending! Progress forward always includes cleaning, painting and outdoor water garden fun!! It's a beautiful evening here at Hidden Valley! #treehouse #fortleavenworth #nature #hiking #Airbnb",Photos from Hidden Valley Wilderness Retreat's post,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1311537752213304.1073741829.1252406928126387/1649742091726200/?type=3,2017-08-16 19:38:11,6,0,1,6,0,0,0,0,0
1252406928126387_1646820948684981,"Come stay at Hidden Valley Wilderness Retreat and pick apples at our neighbor's apple orchard! September is filling up quickly!! 

Book Now!!

#fortleavenworth #Stationedatfortleavenworth #Leavenworthks #upickapples #treehouse #nature #Airbnb 

https://www.facebook.com/kickapooapples/",Kickapoo Ridge Apple Orchard,link,https://www.facebook.com/kickapooapples/,2017-08-13 17:59:06,3,0,0,3,0,0,0,0,0
1252406928126387_1639088699458206,"As the daylight passes into nightfall, the peaceful valley soothes the soul with sounds from the gentle waterfalls, fountains and nature's melodic creatures! #treehouse #Leavenworthks #retreat #Airbnb #hiking #fortleavenworth #stationedatfortleavenworth",,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1311537752213304.1073741829.1252406928126387/1639088619458214/?type=3,2017-08-05 21:19:38,15,0,0,14,1,0,0,0,0
1252406928126387_1639084482791961,"This is a post from, Savannah, a recent guest. It is always nice to see pictures from our guest's perspective! 
""This is our evening thanks to an amazing woman I had the pleasure of meeting over one year ago during my wedding dress journey. This place is beyond perfect and we are so grateful that we get to spend our time here this weekend. So beautiful and relaxing! Thank you Denise and Stan!""",Photos from Hidden Valley Wilderness Retreat's post,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1311537752213304.1073741829.1252406928126387/1639084399458636/?type=3,2017-08-05 21:13:26,20,0,2,20,0,0,0,0,0
1252406928126387_1637644622935947,"It only makes SENSE for guests to pick their favorite SCENT!! 

Guests select a favorite candle wax warmer scent for their bedroom made by a favorite local vendor!

https://www.facebook.com/CandleQueenCandles/",Photos from Hidden Valley Wilderness Retreat's post,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1311537752213304.1073741829.1252406928126387/1637641062936303/?type=3,2017-08-04 11:34:34,6,0,0,5,1,0,0,0,0
1252406928126387_1637160586317684,"Thanks to our fabulous guest, Shannon Fox, for capturing these pictures during her recent stay!!",Photos from Hidden Valley Wilderness Retreat's post,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1311537752213304.1073741829.1252406928126387/1637160316317711/?type=3,2017-08-03 22:50:29,26,0,3,22,4,0,0,0,0
1252406928126387_1629624260404650,Today's much needed rain sent us working inside the retreat house's second wing.  (Open for booking October 2017!) The history of this priest's wing was an artist and writer's area. We plan to create a space that will continue to inspire creativity. The back hallway seemed to be a place to start rehab since a bucket of paint spilled on the carpet when doing a 'quick' paint job;/ Ho-hum!!!,,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1311537752213304.1073741829.1252406928126387/1629624217071321/?type=3,2017-07-26 23:03:17,12,0,1,12,0,0,0,0,0
1252406928126387_1627301407303602,The tranquil sound of the Koi pond waterfall along with the outdoor sounds of summer can be heard in 'The Valley'! Come to relax and leave refreshed! #treehouse #fortleavenworth #stationedatfortleavenworth #hiking #nature,'s cover photo,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1252417541458659.1073741828.1252406928126387/1627301377303605/?type=3,2017-07-24 20:18:43,15,0,1,14,1,0,0,0,0
1252406928126387_1625043034196106,"Escape to a treehouse and retreat house in the quiet peaceful wilderness 10 mi north of Leavenworth, Kansas! #Airbnb #treehouse  #fortleavenworth #hiking #nature #kansascity",Timeline Photos,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1442693329097745.1073741830.1252406928126387/1625043034196106/?type=3,2017-07-22 20:45:47,5,0,2,4,1,0,0,0,0
1252406928126387_1621733304527079,,,status,,2017-07-19 21:15:51,0,0,0,0,0,0,0,0,0
1252406928126387_1621671297866613,"..And so .... the journey begins for a more adventurous treehouse #2! Stay tuned! The boards will be sanded and edges routered for interior shiplap siding. Ahhh.... The smell of red cedar!! If you could design a treehouse, what would you plan?
#treehouse #nature #retreat #Airbnb #weston #Atchison #Leavenworth #fortleavenworth #eastonks",Timeline Photos,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1442693329097745.1073741830.1252406928126387/1621671297866613/?type=3,2017-07-19 20:10:02,12,0,1,11,1,0,0,0,0
1252406928126387_1621647744535635,,'s cover photo,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1252417541458659.1073741828.1252406928126387/1621647724535637/?type=3,2017-07-19 19:46:49,11,0,1,10,1,0,0,0,0
1252406928126387_1621350531232023,Private entrance added off of treehouse retreat back deck. #Airbnb  #nature  #kansas #hiking #treehouse #ftleavenworth,Photos from Hidden Valley Wilderness Retreat's post,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1311537752213304.1073741829.1252406928126387/1621342534566156/?type=3,2017-07-19 13:45:42,13,0,1,13,0,0,0,0,0
1252406928126387_1608464489187294,,'s cover photo,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1252417541458659.1073741828.1252406928126387/1608464469187296/?type=3,2017-07-08 00:10:43,3,0,1,3,0,0,0,0,0
1252406928126387_1608463662520710,"The first treehouse at Hidden Valley Wilderness Retreat is open for guests! This bedroom treehouse is an extension of the original priest retreat suite. The retreat suite offers a full kitchen, master bedroom (king size bed) w bath, sunken living room and screened in patio overlooking the koi pond. July introduction promo $99 weeknight / $125 weekend for 2 people. $25/ per each addl person.",Photos from Hidden Valley Wilderness Retreat's post,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1311537752213304.1073741829.1252406928126387/1608463542520722/?type=3,2017-07-08 00:09:05,63,12,23,58,5,0,0,0,0
1252406928126387_1600692616631148,"Treehouse is finished and booked for the next 5 days! We are already booked 18 days in July! Detail work and decor touches will be added, but here's quick sneak peek! Come and see us!! #fortleavenworth #fortleavenworth #nature #hiking #kansas #kansascity #Leavenworth #eastonks",Photos from Hidden Valley Wilderness Retreat's post,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1311537752213304.1073741829.1252406928126387/1600692513297825/?type=3,2017-06-30 18:32:21,23,3,4,18,5,0,0,0,0
1252406928126387_1597322273634849,Two days away from our first treehouse booking!! Hoping the rain passes and exterior siding work can be finished!,Photos from Hidden Valley Wilderness Retreat's post,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1311537752213304.1073741829.1252406928126387/1597322103634866/?type=3,2017-06-28 06:51:39,17,1,0,16,1,0,0,0,0
1252406928126387_1582765315090545,Added another duck to the mix. #airbnb #kansascity #nature #getaway #outdoors,Timeline Photos,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1442693329097745.1073741830.1252406928126387/1582765315090545/?type=3,2017-06-15 22:43:50,4,0,1,4,0,0,0,0,0
1252406928126387_1582035965163480,Another beautiful day in Hidden Valley! #outdoors #getaway #nature #kansascity #airbnb,Timeline Photos,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1442693329097745.1073741830.1252406928126387/1582035965163480/?type=3,2017-06-15 09:19:53,7,0,0,7,0,0,0,0,0
1252406928126387_1580593288641081,Beautiful spot by the pond to sit and relax. #airbnb #kansascity #nature #getaway #outdoors,Timeline Photos,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1442693329097745.1073741830.1252406928126387/1580593288641081/?type=3,2017-06-14 09:22:32,5,0,0,5,0,0,0,0,0
1252406928126387_1579871815379895,"The treehouse will be connected to the house, giving guests access to both during their stay!#getaway #outdoors #nature #kansascity #airbnb #treehouse",Timeline Photos,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1442693329097745.1073741830.1252406928126387/1579871815379895/?type=3,2017-06-13 21:26:35,5,0,0,4,1,0,0,0,0
1252406928126387_1579217088778701,Walking the trails on this beautiful June day! #airbnb #kansascity #nature #outdoors #getaway,Timeline Photos,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1442693329097745.1073741830.1252406928126387/1579217088778701/?type=3,2017-06-13 09:26:35,5,0,0,5,0,0,0,0,0
1252406928126387_1578604088840001,Windows in today!  This escape in the trees is coming together!,Photos from Hidden Valley Wilderness Retreat's post,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1311537752213304.1073741829.1252406928126387/1578603952173348/?type=3,2017-06-12 20:56:57,20,0,0,19,1,0,0,0,0
1252406928126387_1578295052204238,Continued progress on the treehouse!,Timeline Photos,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1442693329097745.1073741830.1252406928126387/1578295052204238/?type=3,2017-06-12 15:12:14,5,0,0,5,0,0,0,0,0
1252406928126387_1577882475578829,A beautiful stream runs through the property and trails. Come see for yourself! #getaway #outdoors #nature #kansascity #airbnb,Timeline Photos,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1442693329097745.1073741830.1252406928126387/1577882475578829/?type=3,2017-06-12 06:58:05,5,0,1,5,0,0,0,0,0
1252406928126387_1577444908955919,Foot bridge overlooking the stream! #airbnb #kansascity #nature #outdoors #getaway,Timeline Photos,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1442693329097745.1073741830.1252406928126387/1577444908955919/?type=3,2017-06-11 21:36:20,23,2,0,22,1,0,0,0,0
1252406928126387_1576988849001525,Hidden Valley's brush clearers! #getaway #outdoors #nature #kansascity #airbnb,Timeline Photos,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1442693329097745.1073741830.1252406928126387/1576988849001525/?type=3,2017-06-11 12:14:10,10,2,0,9,1,0,0,0,0
1252406928126387_1576874979012912,Enjoy the beauty of nature at hidden valley! #airbnb #kansascity #nature #outdoors #getaway,Timeline Photos,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1442693329097745.1073741830.1252406928126387/1576874979012912/?type=3,2017-06-11 10:17:50,8,0,0,7,1,0,0,0,0
1252406928126387_1576001302433613,Progress being made on the treehouse today! Can't wait to share this addition with our guests! #getaway #outdoors #nature #kansascity #airbnb,Timeline Photos,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1442693329097745.1073741830.1252406928126387/1576001302433613/?type=3,2017-06-10 14:34:19,14,0,0,13,1,0,0,0,0
1252406928126387_1575928759107534,"In addition to providing a trail map, all trails are marked for our guests! #airbnb #kansascity #nature #outdoors #getaway",Timeline Photos,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1442693329097745.1073741830.1252406928126387/1575928759107534/?type=3,2017-06-10 13:10:24,5,0,0,4,1,0,0,0,0
1252406928126387_1575160385851038,A trailmap is provided for guests so they can walk the beautiful wilderness trails! #wilderness #treehouse #getaway #outdoors #nature #kansascity #airbnb,Timeline Photos,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1442693329097745.1073741830.1252406928126387/1575160385851038/?type=3,2017-06-09 20:18:51,12,0,1,9,3,0,0,0,0
1252406928126387_1574033739297036,Yummy wild blackberries along the trails:),Timeline Photos,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1442693329097745.1073741830.1252406928126387/1574033739297036/?type=3,2017-06-08 19:25:02,12,0,1,12,0,0,0,0,0
1252406928126387_1572992882734455,"Today, extra effort to maintenance on our trail system, weed control and mowing! Whew, didn't we just do this a few days ago!?! Here's a peek at an enjoyable  break watching our pet ducks on the pond!",Photos from Hidden Valley Wilderness Retreat's post,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1311537752213304.1073741829.1252406928126387/1572992652734478/?type=3,2017-06-07 22:35:14,8,0,0,7,1,0,0,0,0
1252406928126387_1570007839699626,"Treehouse progress continues! Furniture shopping this morning at Sadtk's in Leavenworth (thanks Sandy) and roof finishing touches today, too!",Photos from Hidden Valley Wilderness Retreat's post,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1311537752213304.1073741829.1252406928126387/1570007809699629/?type=3,2017-06-05 13:43:13,13,0,0,10,3,0,0,0,0
1252406928126387_1557034170996993,"Treehouse update: Progress seems slow day-to-day. However, help from our college age son is speeding things up! Plans have been morphed from the original design blueprint to make this a more charming treehouse for our guests!! Goal date for opening is July 1st!",Photos from Hidden Valley Wilderness Retreat's post,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1311537752213304.1073741829.1252406928126387/1557028827664194/?type=3,2017-05-24 10:19:07,20,3,1,14,5,1,0,0,0
1252406928126387_1522304304469980,,'s cover photo,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1252417541458659.1073741828.1252406928126387/1522304267803317/?type=3,2017-04-21 09:07:47,9,0,0,9,0,0,0,0,0
1252406928126387_1517271194973291,"Turtle Rock Creek Crossing offers quick access to the wilderness trail system and the ponds.  Also, it is a spectacular photo op place;)",'s cover photo,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1252417541458659.1073741828.1252406928126387/1517271181639959/?type=3,2017-04-17 16:43:29,3,0,0,3,0,0,0,0,0
1252406928126387_1517255711641506,"Spring beauty is budding at Hidden Valley Retreat! Escape to this peaceful wooded acreage to experience hiking on well maintained trails and sitting on the pond dock in the middle of the woods.  The private suite includes a full kitchen, large bedroom w sitting area, private bathroom, living room, screened in porch overlooking a koi pond and covered parking. Click the 'Book Now' button to visit our Airbnb site. #wilderness #nature #mendacity #getaway #airbnb",Photos from Hidden Valley Wilderness Retreat's post,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1311537752213304.1073741829.1252406928126387/1517254234974987/?type=3,2017-04-17 16:18:18,31,3,7,26,5,0,0,0,0
1252406928126387_1494959610537783,Spring is here! Many projects continue to make this place a peaceful retreat for our guests! The birds are nesting and night sounds of wildlife are beautiful! Much needed spring rains have held up treehouse construction... Next week;),Photos from Hidden Valley Wilderness Retreat's post,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1311537752213304.1073741829.1252406928126387/1494956583871419/?type=3,2017-03-30 11:12:59,9,5,4,8,1,0,0,0,0
1252406928126387_1458550010845410,"Hammers, saws and tractors - Ohhh my!!! At Hidden Valley, we are loving this warm February to work on outdoor projects! Here's a few:",Photos from Hidden Valley Wilderness Retreat's post,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1311537752213304.1073741829.1252406928126387/1458549857512092/?type=3,2017-02-24 09:59:21,9,1,4,6,3,0,0,0,0
1252406928126387_1442750352425376,"Looking for a rare one-of-a-kind Valentine's Day gift?  Check out this great shop in Shawnee, KS!!  Rene, the shop owner has restored several pieces of my family heirlooms and always has new treasures to catch my eye! Located in the back of the Shawnee Antique Mall Neiman and 75th St.",Jeweled Legacy,photo,https://www.facebook.com/JeweledLegacy/photos/a.429471953796954.1073741826.429112930499523/1226028417474633/?type=3,2017-02-09 07:04:07,1,0,0,1,0,0,0,0,0
1252406928126387_1442693312431080,Need to get away? Come and stay at the Wilderness Valley Retreat. Hike the trails and enjoy time away from the daily routine. (Book Now link will give an overview),Timeline Photos,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1442693329097745.1073741830.1252406928126387/1442693312431080/?type=3,2017-02-09 05:18:00,1,0,1,1,0,0,0,0,0
1252406928126387_1418820408151704,,,status,,2017-01-19 21:57:24,1,0,1,1,0,0,0,0,0
1252406928126387_1386534441380301,"It is still a beautiful time at The Valley in the winter season! Beautiful, peaceful and a time to renew! Book Now for 2017!",Photos from Hidden Valley Wilderness Retreat's post,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1311537752213304.1073741829.1252406928126387/1386532918047120/?type=3,2016-12-23 08:48:46,6,0,2,6,0,0,0,0,0
1252406928126387_1319268018106944,A perfect time to spend in the solitude of the wilderness!,Photos from Hidden Valley Wilderness Retreat's post,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1311537752213304.1073741829.1252406928126387/1319266651440414/?type=3,2016-10-29 20:23:51,4,1,1,4,0,0,0,0,0
1252406928126387_1311537745546638,A peek inside the retreat wing at Hidden Valley and a view pictures of the wilderness trail system.,Photos from Hidden Valley Wilderness Retreat's post,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1311537752213304.1073741829.1252406928126387/1311528548880891/?type=3,2016-10-22 21:11:40,12,3,3,9,3,0,0,0,0
1252406928126387_1258739100826503,,'s cover photo,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1252417541458659.1073741828.1252406928126387/1258738697493210/?type=3,2016-08-29 20:54:18,3,0,0,3,0,0,0,0,0
1252406928126387_1258503160850097,,'s cover photo,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1252417541458659.1073741828.1252406928126387/1258503064183440/?type=3,2016-08-29 14:33:22,3,0,0,3,0,0,0,0,0
1252406928126387_1258498804183866,,Hidden Valley Wilderness Retreat,photo,https://www.facebook.com/hiddenvalleywilderness/photos/a.1252412051459208.1073741825.1252406928126387/1258498804183866/?type=3,2016-08-29 14:24:56,3,0,1,3,0,0,0,0,0
